date,store_id,store_name,region,product_category,product_name,units_sold,unit_price,revenue,starting_inventory,inventory_level,customer_visits,transactions,promotion_flag,conversion_rate,sell_through_rate,low_stock_flag,month
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Jackets,Summit Waterproof Shell,22,329,7238,97,75,411,16,True,0.038929440389294405,0.2268041237113402,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Jackets,Alpine Down Parka,15,399,5985,174,159,411,12,False,0.029197080291970802,0.08620689655172414,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Jackets,Trail Rain Jacket,12,189,2268,90,78,411,8,False,0.019464720194647202,0.13333333333333333,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Fleece,Canyon Fleece Pullover,30,89,2670,174,144,411,18,False,0.043795620437956206,0.1724137931034483,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Fleece,Mountain Zip Hoodie,21,119,2499,36,15,411,10,False,0.024330900243309004,0.5833333333333334,True,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Backpacks,Boreal Daypack 28L,17,99,1683,106,89,411,13,True,0.031630170316301706,0.16037735849056603,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Backpacks,Expedition Duffel 60L,9,149,1341,58,49,411,5,False,0.012165450121654502,0.15517241379310345,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Footwear,Ridge Hiking Boot,11,159,1749,102,91,411,5,False,0.012165450121654502,0.10784313725490197,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Footwear,Trail Runner Shoe,17,129,2193,131,114,411,14,False,0.0340632603406326,0.1297709923664122,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Base Layers,Thermal Crew Base Layer,33,69,2277,127,94,411,18,False,0.043795620437956206,0.25984251968503935,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Base Layers,Merino Trek Legging,15,79,1185,93,78,411,7,False,0.0170316301703163,0.16129032258064516,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Accessories,Summit Beanie,38,34,1292,60,22,411,24,False,0.058394160583941604,0.6333333333333333,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Accessories,Trail Gloves,34,44,1496,76,42,411,22,False,0.0535279805352798,0.4473684210526316,False,2025-01
2025-01-01,S001,Denver Outdoor Flagship,Mountain,Accessories,Insulated Bottle,22,29,638,53,31,411,12,False,0.029197080291970802,0.41509433962264153,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Jackets,Summit Waterproof Shell,11,329,3619,153,142,245,7,False,0.02857142857142857,0.0718954248366013,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Jackets,Alpine Down Parka,13,399,5187,177,164,245,9,False,0.036734693877551024,0.07344632768361582,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Jackets,Trail Rain Jacket,20,189,3780,49,29,245,14,False,0.05714285714285714,0.40816326530612246,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Fleece,Canyon Fleece Pullover,28,89,2492,103,75,245,23,True,0.09387755102040816,0.27184466019417475,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Fleece,Mountain Zip Hoodie,23,119,2737,115,92,245,16,False,0.0653061224489796,0.2,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Boreal Daypack 28L,16,99,1584,152,136,245,12,False,0.04897959183673469,0.10526315789473684,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Backpacks,Expedition Duffel 60L,14,149,2086,172,158,245,9,True,0.036734693877551024,0.08139534883720931,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Footwear,Ridge Hiking Boot,15,159,2385,137,122,245,9,False,0.036734693877551024,0.10948905109489052,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Footwear,Trail Runner Shoe,11,129,1419,161,150,245,9,False,0.036734693877551024,0.06832298136645963,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Base Layers,Thermal Crew Base Layer,25,69,1725,75,50,245,12,True,0.04897959183673469,0.3333333333333333,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Base Layers,Merino Trek Legging,14,79,1106,132,118,245,7,False,0.02857142857142857,0.10606060606060606,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Accessories,Summit Beanie,23,34,782,176,153,245,10,False,0.04081632653061224,0.13068181818181818,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Accessories,Trail Gloves,37,44,1628,172,135,245,18,True,0.07346938775510205,0.21511627906976744,False,2025-01
2025-01-01,S002,Seattle Trail Store,Pacific Northwest,Accessories,Insulated Bottle,21,29,609,110,89,245,12,False,0.04897959183673469,0.19090909090909092,False,2025-01
2025-01-01,S003,Boston Winter Gear,Northeast,Jackets,Summit Waterproof Shell,21,329,6909,102,81,340,9,True,0.026470588235294117,0.20588235294117646,False,2025-01
