month,revenue,units_sold,transactions,customer_visits,conversion_rate
2025-01,4798796,42019,24601,735644,0.033441447221754
2025-02,4329404,38121,22463,680792,0.032995393600394836
2025-03,3836055,33965,19823,746998,0.026536884971579577
2025-04,3696385,32880,19152,731682,0.026175305665576028
2025-05,3824288,33772,19577,734202,0.026664323987131606
2025-06,3683619,32556,18873,732508,0.02576490632184222
2025-07,3847543,34017,19882,736610,0.026991216518917744
2025-08,3826373,33962,19746,771652,0.025589255260143173
2025-09,3290305,29570,17086,757204,0.02256459289702643
2025-10,3402271,30889,17898,763588,0.023439341634493994
2025-11,4670583,41137,24416,758786,0.03217771545600472
2025-12,4793558,42262,24933,732326,0.034046312707728524
